"id","svgdir_id","uuid","term_id","color","x_min","x_max","x_med","taid"
"1014","1","be804862-7759-11e4-adb6-57ce06b062da","7402","#fff",,,"0","A02.0.00.000"
"1015","2","be804d9e-7759-11e4-adb6-57ce06b062da","7412","#fff",,,"0","A13.0.00.000"
"1016","3","be804e20-7759-11e4-adb6-57ce06b062da","7413","#fff",,,"0","A14.0.00.000"
"1017","4","be804ea2-7759-11e4-adb6-57ce06b062da","7414","#fff",,,"0","A15.0.00.000"
"1018","5","be8010b8-7759-11e4-adb6-57ce06b062da","7338","#fff",,,"0","A16.0.00.001"
"1019","6","be8048e4-7759-11e4-adb6-57ce06b062da","7403","#fff",,,"0","A03.0.00.000"
"1020","7","be804970-7759-11e4-adb6-57ce06b062da","7404","#fff",,,"0","A04.0.00.000"
"1021","8","be8049f2-7759-11e4-adb6-57ce06b062da","7405","#fff",,,"0","A05.0.00.000"
"1022","9","be804a74-7759-11e4-adb6-57ce06b062da","7406","#fff",,,"0","A06.0.00.000"
"1023","10","be804b00-7759-11e4-adb6-57ce06b062da","7407","#fff",,,"0","A08.0.00.000"
"1024","11","be804b82-7759-11e4-adb6-57ce06b062da","7408","#fff",,,"0","A09.0.00.000"
"1025","12","be804c90-7759-11e4-adb6-57ce06b062da","7410","#fff",,,"0","A11.0.00.000"
"1026","13","be804d12-7759-11e4-adb6-57ce06b062da","7411","#fff",,,"0","A12.0.00.000"
"1027","15","be72b67a-7759-11e4-adb6-57ce06b062da","3570","#fff",,,"0","A12.1.00.001"
"1028","16","be7336a4-7759-11e4-adb6-57ce06b062da","3683","#fff",,,"0","A12.2.01.001"
"1029","17","be735a9e-7759-11e4-adb6-57ce06b062da","3727","#fff",,,"0","A12.2.03.001"
"1030","18","be7371be-7759-11e4-adb6-57ce06b062da","3756","#fff",,,"0","A12.2.04.001"
"1031","19","be74a228-7759-11e4-adb6-57ce06b062da","4128","#fff",,,"0","A12.2.10.001"
"1032","20","be7557c2-7759-11e4-adb6-57ce06b062da","4367","#fff",,,"0","A12.3.01.002"
"1033","21","be7560aa-7759-11e4-adb6-57ce06b062da","4383","#fff",,,"0","A12.3.02.001"
"1034","22","be75a8b2-7759-11e4-adb6-57ce06b062da","4427","#fff",,,"0","A12.3.03.001"
"1035","23","be7676d4-7759-11e4-adb6-57ce06b062da","4671","#fff",,,"0","A12.3.09.001"
"1036","23","be7676d4-7759-11e4-adb6-57ce06b062da","4671","#78B207","2560","3795","3178","A12.3.09.001"
"1037","25","be768aca-7759-11e4-adb6-57ce06b062da","4710","#B9B14C","3950","4300","4125","A12.3.10.024"
"1038","25","be768aca-7759-11e4-adb6-57ce06b062da","4710","#366069","3875","4300","4088","A12.3.10.024"
"1039","27","be769038-7759-11e4-adb6-57ce06b062da","4716","#E2CE25","4485","7200","5843","A12.3.11.003"
"1040","27","be769038-7759-11e4-adb6-57ce06b062da","4716","#CAE584","4470","7200","5835","A12.3.11.003"
"1041","29","be7695e2-7759-11e4-adb6-57ce06b062da","4723","#4E1124","6015","6265","6140","A12.3.11.010"
"1042","29","be7695e2-7759-11e4-adb6-57ce06b062da","4723","#25A528","6510","6595","6553","A12.3.11.010"
"1043","31","be76a08c-7759-11e4-adb6-57ce06b062da","4736","#D2065B","4305","5600","4953","A12.3.11.023"
"1044","31","be76a08c-7759-11e4-adb6-57ce06b062da","4736","#A93053","4305","5660","4983","A12.3.11.023"
"1045","33","be76a492-7759-11e4-adb6-57ce06b062da","4741","#D7DE8F","5605","6090","5848","A12.3.11.028"
"1046","33","be76a492-7759-11e4-adb6-57ce06b062da","4741","#3BC7D6","5665","6070","5868","A12.3.11.028"
"1047","35","be767954-7759-11e4-adb6-57ce06b062da","4676","#A34B7F","2635","3045","2840","A12.3.09.006"
"1048","36","be76b8e2-7759-11e4-adb6-57ce06b062da","4766","#7D21FB","2925","3265","3095","A12.3.12.018"
"1049","37","be76c0ee-7759-11e4-adb6-57ce06b062da","4776","#87C76B","3040","3280","3160","A12.3.12.028"
"1050","38","be76c42c-7759-11e4-adb6-57ce06b062da","4780","#2F7F27","3180","3260","3220","A12.3.12.032"
"1051","39","be7679d6-7759-11e4-adb6-57ce06b062da","4677","#562582","2635","3050","2843","A12.3.09.007"
"1052","40","be767a58-7759-11e4-adb6-57ce06b062da","4678","#203E15","2610","2630","2620","A12.3.09.008"
"1053","41","be767d5a-7759-11e4-adb6-57ce06b062da","4684","#9EC5E5","3035","3255","3145","A12.3.09.013"
"1054","42","be767bde-7759-11e4-adb6-57ce06b062da","4681","#B9233D","3035","3255","3145","A12.3.09.011"
"1055","43","be767ee0-7759-11e4-adb6-57ce06b062da","4687","#C15E82","3800","3945","3873","A12.3.10.001"
"1056","44","be768066-7759-11e4-adb6-57ce06b062da","4690","#9B6ED5","3950","4020","3985","A12.3.10.004"
"1057","44","be768066-7759-11e4-adb6-57ce06b062da","4690","#C50EA6","3880","3900","3890","A12.3.10.004"
"1058","22","be75a8b2-7759-11e4-adb6-57ce06b062da","4427","#06FCBE","1930","2210","2070","A12.3.03.001"
"1059","47","be75d2b0-7759-11e4-adb6-57ce06b062da","4509","#D3C3C1","0600","0775","688","A12.3.05.108"
"1060","48","be75d332-7759-11e4-adb6-57ce06b062da","4510","#0DDC90","0090","0495","293","A12.3.05.109"
"1061","49","be75d436-7759-11e4-adb6-57ce06b062da","4512","#CA038B","0345","0445","395","A12.3.05.111"
"1062","50","be75d4b8-7759-11e4-adb6-57ce06b062da","4513","#C87C0A","0450","0510","480","A12.3.05.112"
"1063","51","be764290-7759-11e4-adb6-57ce06b062da","4637","#8C6191","1560","1720","1640","A12.3.08.002"
"1064","51","be764290-7759-11e4-adb6-57ce06b062da","4637","#6473B8","1535","1665","1600","A12.3.08.002"
"1065","53","be7644ac-7759-11e4-adb6-57ce06b062da","4640","#511DE7","1610","1970","1790","A12.3.08.005"
"1066","53","be7644ac-7759-11e4-adb6-57ce06b062da","4640","#683A59","1610","1930","1770","A12.3.08.005"
"1067","55","be767300-7759-11e4-adb6-57ce06b062da","4664","#15CA0B","1975","2645","2310","A12.3.08.029"
"1068","55","be767300-7759-11e4-adb6-57ce06b062da","4664","#34432C","1935","2885","2410","A12.3.08.029"
"1069","57","be75a934-7759-11e4-adb6-57ce06b062da","4428","#C3F1BB","1450","1925","1688","A12.3.04.001"
"1070","58","be766cc0-7759-11e4-adb6-57ce06b062da","4653","#36EF25","2630","3090","2860","A12.3.08.018"
"1071","58","be766cc0-7759-11e4-adb6-57ce06b062da","4653","#C6D689","2605","3125","2865","A12.3.08.018"
"1072","60","be766b44-7759-11e4-adb6-57ce06b062da","4650","#3D6340","1945","3750","2848","A12.3.08.015"
"1073","60","be766b44-7759-11e4-adb6-57ce06b062da","4650","#DE6CA4","1945","3035","2490","A12.3.08.015"
"1074","62","be7617fc-7759-11e4-adb6-57ce06b062da","4610","#9FF576","2010","2555","2283","A12.3.07.001"
"1075","63","be761982-7759-11e4-adb6-57ce06b062da","4613","#848564","2205","2555","2380","A12.3.07.004"
"1076","64","be761a04-7759-11e4-adb6-57ce06b062da","4614","#B6BA92","1880","2190","2035","A12.3.07.005"
"1077","65","be75b564-7759-11e4-adb6-57ce06b062da","4452","#0414B2","0780","1470","1125","A12.3.05.001"
"1078","65","be75b564-7759-11e4-adb6-57ce06b062da","4452","#F037C1","0780","1500","1140","A12.3.05.001"
"1079","67","be75cfae-7759-11e4-adb6-57ce06b062da","4503","#A4D8B4","0550","0630","590","A12.3.05.102"
"1080","67","be75cfae-7759-11e4-adb6-57ce06b062da","4503","#679440","0550","0595","573","A12.3.05.102"
"1081","69","be75d030-7759-11e4-adb6-57ce06b062da","4504","#175B23","0515","0545","530","A12.3.05.103"
"1082","70","be75d12a-7759-11e4-adb6-57ce06b062da","4506","#3E0AF2","0590","0715","653","A12.3.05.105"
"1083","47","be75d2b0-7759-11e4-adb6-57ce06b062da","4509","#F0254F","0635","0775","705","A12.3.05.108"
"1084","72","be75612c-7759-11e4-adb6-57ce06b062da","4384","#F699BB","1950","2250","2100","A12.3.02.101"
"1085","73","be756898-7759-11e4-adb6-57ce06b062da","4397","#0090BA","2245","2550","2398","A12.3.02.201"
"1086","74","be7578a6-7759-11e4-adb6-57ce06b062da","4407","#1F0670","1945","2260","2103","A12.3.02.301"
